"FacilityId","Name","MaxClassName","GroundCategory","AreaName","PlaceName"
"1","2025년 월드컵 풋살구장(평일주간)","체육시설","풋살장","마포구","서울월드컵경기장>풋살구장"
"2","2025년 월드컵 풋살구장(평일새벽&middot;야간)","체육시설","풋살장","마포구","서울월드컵경기장>풋살구장"
"3","2025년 월드컵 풋살구장(휴일주간)","체육시설","풋살장","마포구","서울월드컵경기장>풋살구장"
"4","2025년 월드컵 풋살구장(휴일새벽&middot;야간)","체육시설","풋살장","마포구","서울월드컵경기장>풋살구장"
"5","인재개발원 축구장 대관","체육시설","축구장","서초구","인재개발원>축구장"
"6","서울어린이대공원 인조잔디축구장 2월 평일(주간)","체육시설","축구장","광진구","서울어린이대공원 잔디축구장"
"7","서울어린이대공원 인조잔디축구장 2월평일(야간)","체육시설","축구장","광진구","서울어린이대공원 잔디축구장"
"8","서울어린이대공원 인조잔디축구장 2월 토&middot;일&middot;공휴일(주간)","체육시설","축구장","광진구","서울어린이대공원 잔디축구장"
"9","서울어린이대공원 인조잔디축구장 2월 토&middot;일&middot;공휴일(야간)","체육시설","축구장","광진구","서울어린이대공원 잔디축구장"
"10","서울어린이대공원 인조잔디축구장 3월 평일(주간)","체육시설","축구장","광진구","서울어린이대공원 잔디축구장"
"11","서울어린이대공원 인조잔디축구장 3월평일(야간)","체육시설","축구장","광진구","서울어린이대공원 잔디축구장"
"12","서울어린이대공원 인조잔디축구장 3월 토&middot;일&middot;공휴일(주간)","체육시설","축구장","광진구","서울어린이대공원 잔디축구장"
"13","서울어린이대공원 인조잔디축구장 3월 토&middot;일&middot;공휴일(야간)","체육시설","축구장","광진구","서울어린이대공원 잔디축구장"
"14","잠실파크골프장","체육시설","골프장","송파구","잠실파크골프장"
"15","[평일주간] 2025년 고척스카이돔 야외 축구장(1분기)","체육시설","축구장","구로구","고척스카이돔"
"16","[평일새벽.야간] 2025년 고척스카이돔 야외 축구장(1분기)","체육시설","축구장","구로구","고척스카이돔"
"17","[휴일주간] 2025년 고척스카이돔 야외 축구장(1분기)","체육시설","축구장","구로구","고척스카이돔"
"18","[휴일새벽.야간] 2025년 고척스카이돔 야외 축구장(1분기)","체육시설","축구장","구로구","고척스카이돔"
"19","반포종합운동장 배드민턴 / 24년 9월 이후 / 예약서비스 이관(서초구공공체육시설통합예약)","체육시설","배드민턴장","서초구","반포종합운동장>배드민턴장"
"20","축구 / 방배 / (24년 10~이후)  서초구 예약시스템에서 예약가능","체육시설","축구장","서초구","방배배수지체육공원"
"21","풋살 / 방배 / (24년 10~이후)  서초구 예약시스템에서 예약가능","체육시설","풋살장","서초구","방배배수지체육공원"
"22","반포종합운동장 축구장 / &#39;24년 9월 이후 / 예약서비스 이관(서초구공공체육시설통합예약)","체육시설","축구장","서초구","반포종합운동장"
"23","[평일 주간] 2025년 망원유수지 풋살구장(상반기)","체육시설","풋살장","마포구","망원유수지 풋살장"
"24","[주말, 공휴일 주간] 2025년 망원유수지 풋살구장(상반기)","체육시설","풋살장","마포구","망원유수지 풋살장"
"25","[평일 야간] 2025년 망원유수지 풋살구장(상반기)","체육시설","풋살장","마포구","망원유수지 풋살장"
"26","[주말, 공휴일 야간] 2025년 망원유수지 풋살구장(상반기)","체육시설","풋살장","마포구","망원유수지 풋살장"
